Name,Type,Distance_km,Points,Elevation_Gain_m,Elevation_Loss_m,Coordinates
"60 PRO_ OHT_Paalanahalli","overhead_tank",0,1,0,0,""77.2392486959359,13.11673458187239""
"63 PRO_ OHT_Shiraganahalli","overhead_tank",0,1,0,0,""77.26337886756963,13.15124990630297""
"68 EX_OHT_Udakunte","overhead_tank",0,1,0,0,""77.23647619726351,13.12981753578893""
"69 EX_GLSR(old)_Gollarahatti_01","ground_reservoir",0,1,0,0,""77.23267158216706,13.11940323218372""
"69 PRO_OHT_Gollarahatti_02","overhead_tank",0,1,0,0,""77.23256254194057,13.11924096025139""
"71 EX_OHT_Belagumba","overhead_tank",0,1,0,0,""77.24679269880342,12.99742258542086""
"72 PRO_OHT_Chuchalimaradapalya Alias Anandanagara","overhead_tank",0,1,0,0,""77.24343157582129,12.98362790638034""
"75 PRO_OHT_Bhantrakuppe","overhead_tank",0,1,0,0,""77.27645149700948,12.98524372616857""
"76 PRO_OHT_HARIJANACOLONY","overhead_tank",0,1,0,0,""77.29272641090893,12.97538914939248""
"77 PRO_ OHT_Thorerampura","overhead_tank",0,1,0,0,""77.26516828261707,12.98713407621179""
"78 EX_OHT(old)_Byadarahalli","overhead_tank",0,1,0,0,""77.25537328149,12.99379892656931""
"80 PRO_OHT_Jevipalya","overhead_tank",0,1,0,0,""77.23896667662,12.96368723323658""
"81 EX_OHT_Thirumale","overhead_tank",0,1,0,0,""77.24442810715422,12.95940600341937""
"82 PRO_OHT_Gudepalya","overhead_tank",0,1,0,0,""77.23185157192331,13.02093109619013""
"84 PRO_OHT_Benachakallugudepalya","overhead_tank",0,1,0,0,""77.25799163574993,12.99746664792485""
"87 PRO_OHT_ERAIAHNAPALYA","overhead_tank",0,1,0,0,""77.26518550174087,13.00277347183339""
"88 EX_OHT_Hanumanthaiahnapalya","overhead_tank",0,1,0,0,""77.25282379141278,13.01664398483656""
"89 PRO_OHT_Harthi","overhead_tank",0,1,0,0,""77.24360495147087,13.01995830203693""
"90 PRO_OHT_HONNASIDDEGOUDANAPALYA","overhead_tank",0,1,0,0,""77.25071652867425,13.02163973445948""
"94 PRO_OHT_HARIJANACOLONY","overhead_tank",0,1,0,0,""77.24937756884664,13.002996740399""
"96 PRO_OHT_Singripalya","overhead_tank",0,1,0,0,""77.24424928543463,13.01175036824921""
"97 PRO_OHT_Kanchugaranahalli","overhead_tank",0,1,0,0,""77.237520147013,13.01690618274885""
"98 PRO_ OHT_Panakanakallu","overhead_tank",0,1,0,0,""77.26115577985907,12.96477808343978""
"100 EX_OHT(old)_Rangenahalli","overhead_tank",0,1,0,0,""77.24433137749385,13.02957590239639""
"103 PRO_OHT_Mutharayanagudipalya","overhead_tank",0,1,0,0,""77.26751116804171,13.01824507230331""
"104 PRO_OHT_Shidaganahalli","overhead_tank",0,1,0,0,""77.25439725020095,13.02436862120095""
"105 PRO_OHT_Kallantepalya","overhead_tank",0,1,0,0,""77.25110987865757,12.97572694594681""
"107 PRO_ OHT_Thorechannohalli","overhead_tank",0,1,0,0,""77.27262559287212,13.00010947923729""
"109 PRO_OHT_Basavanagudupalya Colony","overhead_tank",0,1,0,0,""77.16511269515506,13.07982073502624""
"111 EX_OHT_Byrapura","overhead_tank",0,1,0,0,""77.17134781901997,13.08125943505941""
"112 PRO_OHT_K.G Krishnapura","overhead_tank",0,1,0,0,""77.16717867845091,13.08732202857586""
"113 PRO_OHT_PARVATAPURA","overhead_tank",0,1,0,0,""77.16661549385414,13.08569367942395""
"114 PRO_ OHT_Venkataiahnapalya","overhead_tank",0,1,0,0,""77.17306337519862,13.08662188324247""
"115 PRO_OHT_BISKURU","overhead_tank",0,1,0,0,""77.13966399988247,13.08926499560652""
"116 PRO_OHT_Hosapalya","overhead_tank",0,1,0,0,""77.13595848212043,13.08568461653496""
"117 PRO_OHT_KARLAHATTI","overhead_tank",0,1,0,0,""77.13161344696788,13.08822823494179""
"119 PRO_OHT_SANJEEVAIAHNAPALYA","overhead_tank",0,1,0,0,""77.15036646979695,13.08482736102927""
"120 EX_OHT(old)_Gollahalli","overhead_tank",0,1,0,0,""77.15337393260108,13.09610073626163""
"122 PRO_OHT_Jagganapalya","overhead_tank",0,1,0,0,""77.14772800909489,13.11510146861446""
"123 PRO_OHT_KODIHALLI","overhead_tank",0,1,0,0,""77.1540706281921,13.10264455324342""
"124 PRO_OHT_Mandanipalya","overhead_tank",0,1,0,0,""77.14435574134481,13.10578539741652""
"125 PRO_OHT_MARIYAPPANAPALYA","overhead_tank",0,1,0,0,""77.14651729762566,13.0999815787814""
"126 PRO_OHT_GOLLARAHATTI","overhead_tank",0,1,0,0,""77.14982584520517,13.0749021949767""
"127 PRO_OHT_Kaduramanahalli","overhead_tank",0,1,0,0,""77.12979948045601,13.07378858911561""
"128 PRO_OHT_Muthasagara","overhead_tank",0,1,0,0,""77.15190947831537,13.08275968556179""
"129 EX_GLSR_Bandemata(Kempasandra)","ground_reservoir",0,1,0,0,""77.25960814396534,13.10593906115533""
"130 EX_GLSR(old)_Bittasandra","ground_reservoir",0,1,0,0,""77.2860836606067,13.10628211865397""
"134 EX_OHT_Vaddarapalya","overhead_tank",0,1,0,0,""77.25140828336608,13.10364827949057""
"135 PRO_OHT_Gangenapura","overhead_tank",0,1,0,0,""77.27083579955331,13.08570761879015""
"137 PRO_OHT_Hemapura","overhead_tank",0,1,0,0,""77.28161100976327,13.1236277246682""
"141 PRO_OHT_Kanikenahalli","overhead_tank",0,1,0,0,""77.26878163460778,13.09996681676826""
"142 PRO_OHT_Kuppemala","overhead_tank",0,1,0,0,""77.29944395654196,13.10504446085494""
"149 EX_OHT_Narasapura","overhead_tank",0,1,0,0,""77.27318641802849,13.11183585069061""
"152 EX_OHT_Vaddarahalli","overhead_tank",0,1,0,0,""77.29122363287703,13.09363913375296""
"155 EX_GLSR(old)_Kambadakallu_01","ground_reservoir",0,1,0,0,""77.31036866956302,13.09754402756067""
"155 PRO_OHT_Kambadakallu_02","overhead_tank",0,1,0,0,""77.31059959783727,13.09724598812048""
"156 EX_OHT_Yannegere_01","overhead_tank",0,1,0,0,""77.29951316830655,13.09606945407316""
"156 EX_OHT_Yannegere_02","overhead_tank",0,1,0,0,""77.29968540277358,13.09639098555004""
"157 PRO_OHT_Basavanapalya","overhead_tank",0,1,0,0,""77.09464902210976,13.12505486302989""
"159 EX_OHT_Chikkahalli","overhead_tank",0,1,0,0,""77.09645823027272,13.13878634543289""
"159 PRO_OHT_Chikkahalli","overhead_tank",0,1,0,0,""77.0960095175099,13.1388669047966""
"160 PRO_ OHT_Thirurangaiahnapalya","overhead_tank",0,1,0,0,""77.10148955091275,13.14500476576119""
"161 PRO_OHT_Doddahalli","overhead_tank",0,1,0,0,""77.10667132228198,13.12813778224332""
"162 PRO_OHT_Basavanagudipalya","overhead_tank",0,1,0,0,""77.0716781107564,13.13360031745""
"163 EX_OHT_Choudaiahnapalya","overhead_tank",0,1,0,0,""77.0878089644423,13.11760956513305""
"164 EX_OHT_Gangonahalli","overhead_tank",0,1,0,0,""77.08407381887238,13.12471079648759""
"167 PRO_OHT_ Raghuvanapalya","overhead_tank",0,1,0,0,""77.08273069098495,13.11895326049407""
"168 EX_OHT_Honnapura","overhead_tank",0,1,0,0,""77.12789153157051,13.14245847970231""
"169 PRO_OHT_Honnapuradapalya","overhead_tank",0,1,0,0,""77.12365541291724,13.1465725230929""
"170 PRO_ OHT_Janatha Colony","overhead_tank",0,1,0,0,""77.08541699265709,13.10965403007651""
"172 EX_OHT_Virupapura","overhead_tank",0,1,0,0,""77.13071121053848,13.1355660201185""
"173 PRO_OHT_Angajanahalli","overhead_tank",0,1,0,0,""77.13132329595108,13.03144409618977""
"178 PRO_OHT_Chikkamudigere","overhead_tank",0,1,0,0,""77.1210315855145,13.01312249961801""
"179 PRO_ OHT_Papiranganapalya","overhead_tank",0,1,0,0,""77.12411768530792,13.01139322753998""
"180 PRO_OHT_Agraharapalya","overhead_tank",0,1,0,0,""77.1335445265226,13.02377888482429""
"181 PRO_OHT_Doddamudigere","overhead_tank",0,1,0,0,""77.12565103404911,13.02417317493261""
"183 PRO_OHT_Janatha Colony","overhead_tank",0,1,0,0,""77.11783393562625,13.0196824647901""
"184 EX_OHT_Janigere","overhead_tank",0,1,0,0,""77.14845765938917,13.02524307929706""
"185 PRO_P_OHT_Gollarahatti","overhead_tank",0,1,0,0,""77.12655882341696,13.00159624899261""
"186 EX_OHT_Kalkere","overhead_tank",0,1,0,0,""77.11074508895454,13.00428673567528""
"188 PRO_OHT_Musalmanarapalya","overhead_tank",0,1,0,0,""77.11709028496537,13.01025378224697""
"191 PRO_OHT_Thopaiahnapalya","overhead_tank",0,1,0,0,""77.11947079104091,13.00189308738722""
"192 PRO_OHT_Kempapura","overhead_tank",0,1,0,0,""77.13713966983627,13.02686209314291""
"194 PRO_OHT_Kenchanahalli","overhead_tank",0,1,0,0,""77.13646178783463,13.00798935097641""
"195 PRO_ OHT_Channappanapalya (Bennappanapalya)","overhead_tank",0,1,0,0,""77.158070172949,13.03389660834756""
"196 PRO_OHT_Mallasandra","overhead_tank",0,1,0,0,""77.14800766732388,13.04412316683366""
"198 PRO_OHT_Marisomanahalli","overhead_tank",0,1,0,0,""77.13606431457546,13.01861112588893""
"199 EX_OHT_Kodipalya","overhead_tank",0,1,0,0,""77.12755002689708,13.03440500337899""
"201 PRO_ OHT_Siddapura_01","overhead_tank",0,1,0,0,""77.11995078612615,13.03572747829208""
"201 PRO_ OHT_Siddapura_02","overhead_tank",0,1,0,0,""77.11988192004691,13.04095182290579""
"203 EX_OHT_Garageswarapura","overhead_tank",0,1,0,0,""77.27657305882813,13.03848927671498""
"205 PRO_ OHT_Obaiahnapalya","overhead_tank",0,1,0,0,""77.26668796009994,13.02612270167527""
"208 EX_OHT_Gudemaranahalli_01","overhead_tank",0,1,0,0,""77.26218305657343,13.05195041818013""
"208 EX_OHT_Gudemaranahalli_02","overhead_tank",0,1,0,0,""77.26130497752642,13.05037463932849""
"211 PRO_ OHT_Kallipalya","overhead_tank",0,1,0,0,""77.27549113828638,13.05555790839658""
"215 PRO_OHT_Hakkinalu","overhead_tank",0,1,0,0,""77.27663413941528,13.03845129826854""
"216 EX_OHT_Harijanapalya (Hakkinalu Colony)","overhead_tank",0,1,0,0,""77.27595596245492,13.03279047178717""
"219 PRO_OHT_Naganahalli","overhead_tank",0,1,0,0,""77.28625703962555,13.03153514277878""
"220 PRO_ OHT_Gollarahalli","overhead_tank",0,1,0,0,""77.24996199211367,13.04450409442581""
"222 PRO_OHT_Hilligarahatti","overhead_tank",0,1,0,0,""77.25370232247109,12.94311408943868""
"225 PRO_OHT_Gundigere","overhead_tank",0,1,0,0,""77.16365122255918,13.14778080449474""
"227 PRO_OHT_Siddabasavanapalya","overhead_tank",0,1,0,0,""77.15853113961549,13.15172778185166""
"229 PRO_OHT_Balagangadharatilaka Nagar","overhead_tank",0,1,0,0,""77.1524490497467,13.13949773837013""
"231 EX_OHT_Hulikal_01","overhead_tank",0,1,0,0,""77.14832770959897,13.13740664986454""
"231 EX_OHT_Hulikal_02","overhead_tank",0,1,0,0,""77.14989469865253,13.13781742241389""
"232 PRO_OHT_Kudremaripalya","overhead_tank",0,1,0,0,""77.15766074334884,13.12792104723799""
"233 PRO_OHT_Muddahanumaiahnapalya","overhead_tank",0,1,0,0,""77.15021851335159,13.13113018641408""
"236 PRO_ OHT_Thimmegowdanapalya","overhead_tank",0,1,0,0,""77.15199149206519,13.15047231653679""
"237 UC_ OHT_Kempapura","overhead_tank",0,1,0,0,""77.17158775933073,13.14219150191403""
"238 PRO_OHT_Lakkenahalli","overhead_tank",0,1,0,0,""77.13750497028161,13.12279564685334""
"239EX_OHT_Lakkenahalli Colony","overhead_tank",0,1,0,0,""77.14479816889154,13.12620084749605""
"240 PRO_OHT_Thammenahalli","overhead_tank",0,1,0,0,""77.15871211694511,13.13455416897153""
"241 PRO_OHT_Beechanahalli","overhead_tank",0,1,0,0,""77.13861867412064,13.11083954983614""
"243 PRO_OHT_Dyavaiahnapalya","overhead_tank",0,1,0,0,""77.11756564189841,13.10175953366709""
"244 EX_OHT_Hullenahall","overhead_tank",0,1,0,0,""77.11135951682834,13.0933726284364""
"245 PRO_OHT_Bettegowdanapalya","overhead_tank",0,1,0,0,""77.12556861881141,13.12804595431903""
"246 PRO_OHT_Channabairappanapalya","overhead_tank",0,1,0,0,""77.11555067868636,13.11842236986145""
"247 PRO_OHT_Mayasandra","overhead_tank",0,1,0,0,""77.12729425862403,13.12362415355929""
"249 PRO_OHT_Muthagadahalli","overhead_tank",0,1,0,0,""77.103708872913,13.08769372355728""
"251 EX_OHT_Raghuvanapalya","overhead_tank",0,1,0,0,""77.07821863905171,13.1073355005225""
"252 PRO_ OHT_Janatha Colony","overhead_tank",0,1,0,0,""77.1062897431249,13.11798318991617""
"253 PRO_ OHT_Shaik Alilaya","overhead_tank",0,1,0,0,""77.10322327497596,13.10391909926872""
"259 PRO_ OHT_Yallapura","overhead_tank",0,1,0,0,""77.11649213854027,13.10775992971813""
"260 PRO_OHT_Basavapatna","overhead_tank",0,1,0,0,""77.16778113932186,12.99034265767741""
"262 PRO_OHT_Sambaiahnapalya","overhead_tank",0,1,0,0,""77.15821371888629,12.9859313676614""
"264 EX_OHT_Doddasomanahalli","overhead_tank",0,1,0,0,""77.14503536247136,13.01747703134437""
"265 PRO_OHT_Rangedowdanapalya","overhead_tank",0,1,0,0,""77.14636719658046,13.01490477049916""
"266 EX_OHT_Borihnonnaiahnapalya","overhead_tank",0,1,0,0,""77.16601538826185,12.99476420476056""
"267 PRO_OHT_Chikkaiahnapalya","overhead_tank",0,1,0,0,""77.15672140058399,12.99231438783423""
"268 PRO_OHT_Doddaiahanapalya","overhead_tank",0,1,0,0,""77.14539430518853,12.99644771955771""
"270 EX_OHT_Hosapalya","overhead_tank",0,1,0,0,""77.14502211023648,13.00782835487101""
"271 PRO_OHT_Janatha Colony","overhead_tank",0,1,0,0,""77.15732635128954,13.00473512724492""
"272 PRO_OHT_Kalarikavali","overhead_tank",0,1,0,0,""77.14413009511135,13.00161828149588""
"275 PRO_OHT_Hanumanthapura","overhead_tank",0,1,0,0,""77.17403060435542,13.02726909729346""
"276 PRO_OHT_Kalari","overhead_tank",0,1,0,0,""77.17039685359701,13.01031936065048""
"277 PRO_ OHT_Revanappanapalya","overhead_tank",0,1,0,0,""77.17381092031728,12.99704278770511""
"278 PRO_ OHT_Thorepalya","overhead_tank",0,1,0,0,""77.1739713877311,13.02074502966136""
"279 PRO_OHT_Kodipalya","overhead_tank",0,1,0,0,""77.18326079835303,13.01225372910993""
"281 PRO_OHT_Aranakattepalya","overhead_tank",0,1,0,0,""77.16244160746936,13.04196063357821""
"282 PRO_ OHT_Shivanasandra","overhead_tank",0,1,0,0,""77.16593800517701,13.02809190850737""
"283 EX_OHT_Singregowdanapalya","overhead_tank",0,1,0,0,""77.17146021320562,13.03423884392311""
"284 PRO_OHT_Bhadraiahnapalya","overhead_tank",0,1,0,0,""77.17687707627927,12.99251676746108""
"287 PRO_OHT_Mariyappanapalya","overhead_tank",0,1,0,0,""77.15542748088376,12.97370903566723""
"288 PRO_OHT_Papaiahnapalya","overhead_tank",0,1,0,0,""77.15849993712622,12.98591051409463""
"290 PRO_ OHT_Thigalarapalya","overhead_tank",0,1,0,0,""77.16755746494013,13.00385463591907""
"291 PRO_ OHT_Thopiahnapalya","overhead_tank",0,1,0,0,""77.15643504222207,12.99223543290395""
"292 PRO_ OHT_Varadohalli","overhead_tank",0,1,0,0,""77.16699378551937,13.00580226829892""
"294 EX_OHT_Colony (c.r. Colony)","overhead_tank",0,1,0,0,""77.1987078907988,12.97683507769973""
"296 EX_OHT_Halasinganahalli","overhead_tank",0,1,0,0,""77.18594232353905,13.01170745837513""
"299 PRO_OHT_Muniyappanapalya","overhead_tank",0,1,0,0,""77.1958150852746,12.95901185729739""
"300 EX_OHT_Hujagal","overhead_tank",0,1,0,0,""77.20013765448881,13.00104119249935""
"301 PRO_OHT_Basavanapalya","overhead_tank",0,1,0,0,""77.17900196150214,12.96775615902335""
"303 PRO_OHT_Gollarahatti","overhead_tank",0,1,0,0,""77.17256374353654,12.98609153801103""
"304 EX_OHT_Kalya","overhead_tank",0,1,0,0,""77.17930298061823,12.97804143400546""
"305 PRO_OHT_Kalya colony","overhead_tank",0,1,0,0,""77.18054460076597,12.98933216330518""
"306 EX_OHT_Hanumapura_1","overhead_tank",0,1,0,0,""77.20234832003028,12.98942839173092""
"306 PRO_OHT_Hanumapura_2","overhead_tank",0,1,0,0,""77.2061243948889,12.98814929613179""
"307 PRO_OHT_Mayanaikanahalli","overhead_tank",0,1,0,0,""77.19141510753006,12.99210534816622""
"308 EX_OHT_Devarahatti","overhead_tank",0,1,0,0,""77.16316268559393,12.96652254347201""
"312 PRO_ OHT_Vitalapura","overhead_tank",0,1,0,0,""77.19671486683265,12.98174065878795""
"313 EX_OHT_Chowdibegur","overhead_tank",0,1,0,0,""77.16128482926443,13.18350743005935""
"315 PRO_OHT_Kannanur","overhead_tank",0,1,0,0,""77.14940646745798,13.17338433515077""
"317 PRO_OHT_Kodipalya","overhead_tank",0,1,0,0,""77.15733825934676,13.16188615742373""
"320 PRO_OHT_Vaddarapalya (kannurpalya)","overhead_tank",0,1,0,0,""77.16296534146292,13.17260160907328""
"321 PRO_OHT_Kenkere","overhead_tank",0,1,0,0,""77.14062422913852,13.16234917875044""
"322 PRO_OHT_Kenkerepalya","overhead_tank",0,1,0,0,""77.14317880958667,13.16883668030743""
"324 EX__OHT_Marasandra","overhead_tank",0,1,0,0,""77.16419905434063,13.1616594845724""
"326 EX_OHT_Naganahalli","overhead_tank",0,1,0,0,""77.16786668528576,13.17802492193155""
"327 EX_OHT_Karihanumaiahnapalya","overhead_tank",0,1,0,0,""77.1219880639807,13.15789801361287""
"328 PRO_ OHT_Navagrama","overhead_tank",0,1,0,0,""77.12710449431592,13.15821119988299""
"329 EX_OHT_Sugganahalli","overhead_tank",0,1,0,0,""77.12882897558518,13.1590601291781""
"331 EX_OHT_Anantharangaiahnapalya","overhead_tank",0,1,0,0,""77.16700253122134,13.11554978524678""
"332 EX_OHT_Annajappana Palya","overhead_tank",0,1,0,0,""77.16713108532052,13.10157198573978""
"333 EX_OHT_Byraveshwara Nagarr","overhead_tank",0,1,0,0,""77.16700284619786,13.09660812203505""
"336 PRO_OHT_Gollarahatti","overhead_tank",0,1,0,0,""77.15923678967813,13.11264781894381""
"339 PRO_OHT_Kuduru","overhead_tank",0,1,0,0,""77.16420972439724,13.10549527418732""
"340 PRO_OHT_Marappanapalya","overhead_tank",0,1,0,0,""77.16497024623366,13.10361588117665""
"342 EX_OHT_Nava Gram","overhead_tank",0,1,0,0,""77.17660686736357,13.10644593844656""
"346 EX_OHT_Kuthingere_01","overhead_tank",0,1,0,0,""77.1922004369032,13.10134550019183""
"346 PRO_OHT_Kuthingere_02","overhead_tank",0,1,0,0,""77.18574898988557,13.10027763769876""
"347 EX_OHT_Beeravara_01","overhead_tank",0,1,0,0,""77.2745532478555,13.0611633802066""
"347 PRO_OHT_Beeravara_02","overhead_tank",0,1,0,0,""77.27634778808044,13.06354742771866""
"348 EX_OHT_Handpost Circle (gm Halli Handpost)","overhead_tank",0,1,0,0,""77.2683264307337,13.06587101121493""
"351 PRO_ OHT_Vaddarapalya","overhead_tank",0,1,0,0,""77.2918675766171,13.07944521281438""
"357 EX_OHT_Goruru","overhead_tank",0,1,0,0,""77.26231518453446,13.07905817845365""
"358 PRO_OHT_Srinivasanagara","overhead_tank",0,1,0,0,""77.26846414914664,13.09046347723066""
"361 PRO_OHT_Janatha colony","overhead_tank",0,1,0,0,""77.30285488245414,13.05515718114848""
"366 PRO_OHT_Sorekattepalya","overhead_tank",0,1,0,0,""77.284137830698,13.07884995023963""
"369 EX_OHT_Kalabyrappanapalya","overhead_tank",0,1,0,0,""77.29223961174698,13.05543514607979""
"372 PRO_OHT_Sabarapalya","overhead_tank",0,1,0,0,""77.28818766938429,13.06521491531262""
"375 EX_OHT_Kudaluru","overhead_tank",0,1,0,0,""77.25600996402221,13.06064139215281""
"377 PRO_ OHT_AmbedkarNagar","overhead_tank",0,1,0,0,""77.3058878539641,13.06341204293132""
"379 EX_GLSR_Bhadrapura","ground_reservoir",0,1,0,0,""77.294997496101,13.07043040566016""
"389 EX_OHT_Marikuppe","overhead_tank",0,1,0,0,""77.29992403274375,13.04141859235441""
"390 PRO_OHT_Parvathapalya","overhead_tank",0,1,0,0,""77.27795537346427,13.07601226862043""
"393 PRO_OHT_Karalahalli","overhead_tank",0,1,0,0,""77.2440008429686,12.92520408819296""
"395 PRO_OHT_Melanahalli","overhead_tank",0,1,0,0,""77.24745783626501,12.92788341472153""
"397 PRO_OHT_Mallavarapalya","overhead_tank",0,1,0,0,""77.23959875678018,12.91045629131666""
"400 PRO_OHT_Subbasastripalya & Karlahalli","overhead_tank",0,1,0,0,""77.23516927434648,12.93362663873194""
"401 EX_OHT_Aladakatte","overhead_tank",0,1,0,0,""77.21579310188413,13.08292746498012""
"408 PRO_ OHT_Vasantanagar","overhead_tank",0,1,0,0,""77.2177817330678,13.0885276274275""
"409 PRO_OHT_Hanumapura","overhead_tank",0,1,0,0,""77.19964349091568,13.04111399892859""
"411 PRO_OHT_Anchepalya","overhead_tank",0,1,0,0,""77.19377492235262,13.07273798356739""
"412 PRO_OHT_Arepalya","overhead_tank",0,1,0,0,""77.18786346626132,13.07139647543407""
"414 EX_OHT_Janatha colony","overhead_tank",0,1,0,0,""77.19418796409838,13.08087651638193""
"416 PRO_OHT_Kenchaiahnapalya","overhead_tank",0,1,0,0,""77.20425004768295,13.07577589043004""
"417 PRO_OHT_Kempohalli","overhead_tank",0,1,0,0,""77.1993958494359,13.05375839209701""
"420 EX_OHT_Madigondanahalli","overhead_tank",0,1,0,0,""77.20835890611455,13.06794355278861""
"421 PRO_OHT_Megalapalya","overhead_tank",0,1,0,0,""77.21673876357006,13.07124899255713""
"423 PRO_OHT_Kenchanapura","overhead_tank",0,1,0,0,""77.19972256698918,13.09477432423501""
"427 PRO_OHT_Thimmasandra","overhead_tank",0,1,0,0,""77.22177816251308,13.10447882404412""
"428 PRO_OHT_Vajarahalli","overhead_tank",0,1,0,0,""77.20955297014198,13.05190830960959""
"430 PRO_OHT_Basavanahalli Colony","overhead_tank",0,1,0,0,""77.32023742461635,13.0355398966234""
"432 EX_OHT_Gejjagarapalya","overhead_tank",0,1,0,0,""77.31297782896276,13.02942387206156""
